.@matevz_zupancic: "Za Uniona Olimpijo vedno cilj le en - naslov prvaka Pokala Spar." Več: http://t.co/rLZ3ngkKZb #olimpija #PokalSPA,Positive
RT @RevijaReporter: ZNP: Preganja se novinarje ne pa tudi tistih ki bi jih bilo treba | Reporter.si http://t.co/OK9v5jSp3l via @RevijaRep,Negative
Ste zamudili spletno razpravo z @VivianeRedingEU? Oglejte si posnetek na: http://t.co/rRKALCz02u … #askReding #eudeb,Neutral
RT @knjiznicaNUK: #NaDanasnjiDan: 1909 je zapadel v Radovljici visok sneg domačini pa so ga kratko malo požgali (Ilus. Slovenec1926). htt,Neutral
@ajudez ima samo ni čist to kar hočem..,Neutral
@ajudez ima samo ni čist to kar hočem..,Negative
@jernejch @peropan1 @BorisDroid LOL. Evo skrbimo da ti tudi v mrkih trenutkih olepšamo dan :,Positive
@RagnarBelial Ubistvu mi je bil Synology na prvem mestu sam zdej sem še tale Zyxel najdu... :) pa kokr berem ni švoh zadeva:,Positive
RT @knjiznicaNUK: #NaDanasnjiDan: 1909 je zapadel v Radovljici visok sneg domačini pa so ga kratko malo požgali (Ilus. Slovenec1926). htt,Neutral
Čez dve uri #VklopiPrihranek od 15. do 17. ure (17.1.2014) in prihrani 30%  redne cene električne energije. Več na http://t.co/JzK4sTw16,Neutral
Bi pasalo po kosilu? Na križarjenju prav vsak dan ;) http://t.co/09xwLPK98,Neutral
Bi pasalo po kosilu? Na križarjenju prav vsak dan ;) http://t.co/09xwLPK98,Positive
Kraj z največjim številom zimskih olimpijcev a še brez olimpijske krone - @PS_Sportal http://t.co/YxOdzKnuo,Neutral
Kraj z največjim številom zimskih olimpijcev a še brez olimpijske krone - @PS_Sportal http://t.co/YxOdzKnuo,Negative
@tyschew definitivno kako svezo faco npr @KokJan. Je pa imo res da raja satire pri nas se ne zna cist zagrabit,Neutral
Kako izkoristiti Linkedin kot poslovno platformo http://t.co/wgZ4fzgnN,Neutral
@TjasaSlokar Si razumela. Žal jih veliko ni. Zlasti pisci spletnih komentarjev še naprej blodijo po svojih malih svetovih :) @EvaKobe24u,Neutral
@pengovsky ne vem kaj še čakate:)) @tyschew @kvadratek @IrenaSirena @Pizam,Neutral
@tetapoli skoraj popolno torej. :,Positive
@tetapoli skoraj popolno torej. :,Neutral
Kako je veliki propagandist prve Janševe oblasti Jože Možina postal nagrajeni režimski umetnik? Tokratna #naslovnica: http://t.co/SJmm6HirJ,Neutral
@br00dah Hlapec svetuje hlapcem da je fajn bit hlapec. Jao. Sem mislil da tale Dejan ima kaj v glavi ampak očitno je možgane že prodal,Negative
@Jure24ur Mar ni Kaloh zaposlen v poslanski skupini? @zzTur,Neutral
Pussy Riot na prostosti in znova v boju. http://t.co/Ufo5nva9W,Positive
#dara Dostava podatkov za odmero dohodnine za leto 2013: Navodila za pravilno poročanje in posebna opozorila d... http://t.co/usOvCLvls,Positive
#dara Dostava podatkov za odmero dohodnine za leto 2013: Navodila za pravilno poročanje in posebna opozorila d... http://t.co/usOvCLvls,Neutral
Alive. Pearl Jam. Prva danes popoldne @Val202 Ajprou,Neutral
Alive. Pearl Jam. Prva danes popoldne @Val202 Ajprou,Positive
Še en super band ki ne podlega britanski dolgočasnosti! @RoadkillGhosts on @noisetrade. Download it here: http://t.co/Qam8TjJnn,Positive
Mojca Kleva Kekuš S&amp;D/SD kolegica v EP je povila Ano. Čestitke mamici očetu vse dobro mali Ani. To je 1. slovenski "prirastek" v  EP :-),Positive
Mojca Kleva Kekuš S&amp;D/SD kolegica v EP je povila Ano. Čestitke mamici očetu vse dobro mali Ani. To je 1. slovenski "prirastek" v  EP :-),Positive
Dej mi mal snega kle nekam da grem "ponos" sprobat... http://t.co/YlTka1OPQ,Neutral
@alter_nacija @missnymphee @Centrifuzija @lisicamica @anuscha @crnkovic zdi se mi da je beseda 'najhot' dobila številne nove pomene:,Neutral
Impro atelje - Šeherezada; jutri ob 18:00! Vljuno vabljeni! :)  http://t.co/bfNXFYFEV,Positive
Na spletni strani MZZ smo danes objavili Javni razpis za projekte s področja mednarodnega razvojnega sodelovanja http://t.co/sIg4bIabq,Neutral
#Enakost: pravila #EU za boj proti #diskriminaciji veljajo v vseh 28 drž.čl.; okrepiti je treba izvajanje v praksi:http://t.co/wjYUmmo3i,Neutral
Kislo zelje je pravo naravno zdravilo: Skoraj nobena vrsta zelenjave se v jedilnikih različnih narodov ne poja... http://t.co/wvOxYW459,Positive
N'toko o slabem tolmačenju tuje realnosti http://t.co/uHHhKQHpBd @SpletnaMladin,Negative
N'toko o slabem tolmačenju tuje realnosti http://t.co/uHHhKQHpBd @SpletnaMladin,Negative
part 1: nasa legendarna stena pred trgovino dobiva novo podobo #enosmerna #onewaystore #1107crew #molotow http://t.co/m4zGeR8xd,Neutral
@GobaFunk Narobe? Nikakor! ;,Negative
@BostjanJerko @Val202 A se po novem imenuje Pesem tedna? ;,Neutral
A veš tisto ko nekomu rečeš 'gospod' iz vljudnosti ne iz spoštovanja,Neutral
@BostjanJerko @Val202 Saj je bolj primeren naziv kot 'Popevka tedna' ampak se moramo držati pravil a veš? ;,Neutral
Da ne da ne ... do zadnjega ni bilo jasno ali letos Slovenija gre na Eurovision Song Contest ali ne. Nam pa je... http://t.co/ylqHi6Auz,Neutral
@SandraKravitz ponovnim brojanjem došlo se do 10+ čisto da se zna :),Positive
RT @JJansaSDS: Fišer: dokument ni pristen! Nato pa preiskava pri Kalohu. Nepristen vendar vseeno tajen dokument? http://t.co/Qur5lmylVZ Bu,Negative
Inline tečajniki obvladajo!  Urban Roof šola ni šala ;) http://t.co/ZvC2ziwrR,Neutral
@JasaLorencic zdravo nam prosim napišeš povezavo na Ronaldov video da si ga ogledamo? :-,Neutral
MASKA: v naslednjem tednu - Sokol! in Kinoklub na ključ - http://t.co/CMmZ2oDGu,Neutral
MASKA: v naslednjem tednu - Sokol! in Kinoklub na ključ - http://t.co/CMmZ2oDGu,Neutral
@markopotrc @steinbuch @TjasaSlokar @finance_si Pasivnost in ignoriranje je rešitev? Zanimivo... prav to so mislili židje o nacistih 1935..,Negative
Evo Ogier postavil stvari na svoje mesto. Po 9. brzincu vodi na Monteju 11 sekund pred Bouffierjem! http://t.co/7I6x4Dc1JT #wrcsl,Positive
it's time 4 deejaytime...v živo iz belooranžnega studia kdo se javi za prvo trombeto toketo naj pritisne lik,Neutral
30% nižja cena električne energije v soboto 18.1.2014 od 14. do 16. ure - #VklopiPrihranek na http://t.co/JzK4sTw16,Positive
@Nelly_Fox Ah škoda... meni so prav glave taglavni fetiš... :,Negative
O tem kako in s čim posiljuje lenoba piše @ntokomc v @SpletnaMladina  http://t.co/Bi0VokMpF,Neutral
Kdo so pa vaši favoriti za #oskarji? Naše ste lahko oz. jih boste še lahko videli pri nas,Neutral
Petkova uganka: Kaj je na sliki? http://t.co/eIQUGc9lY,Neutral
RT @Delo_Sport: Pred začetkom šprinta bialoncev še o tem koliko smole je že imel v karieri Jakov Fak. Držimo pesti zanj!... http://t.co/nQ,Neutral
Policija želi 55 milijona tožilstvo pa 315 milijona dodatnih sredstev http://t.co/Fw0tjNzqR,Neutral
RT @STA_novice: Policija želi 55 milijona tožilstvo pa 315 milijona dodatnih sredstev http://t.co/Fw0tjNzqR,Neutral
Adelino življenje izreden film v Cankarju. Kolšek zadene žebljico na glavico. http://t.co/xZO1fZN4n,Neutral
RT @GledalisceGlej: Glej  Svoboda na http://t.co/Enc7G60P7f! http://t.co/gKofTazFI,Positive
Veterani osamosvojitvene vojne obsojajo izjave Mussomelija http://t.co/4ug9aheD3,Neutral
@merineseri..hočeš povedati da imaš majhne joške?...heh,Neutral
@tanjagruber365 @BreznikDorian S pomočjo @skeptiksi in homeopatije je tako v enem dnevu pozdravila vnetje srednjega ušesa,Positive
@tanjagruber365 @BreznikDorian S pomočjo @skeptiksi in homeopatije je tako v enem dnevu pozdravila vnetje srednjega ušesa,Neutral
@Matino667 Se kar strinjam. Videl sam nekaj takih primerov ki so ponavadi neizogibno samo podaljšali ... :-( Get a room! @russhi,Negative
RT @knjiznicaNUK: Prav lepa hvala:) RT @Pizama: #ff @knjiznicaNUK za slastne drobtinice iz preteklost,Positive
RT @knjiznicaNUK: Prav lepa hvala:) RT @Pizama: #ff @knjiznicaNUK za slastne drobtinice iz preteklost,Positive
RT @Svetovalnica: Ali razumete kaj vam sporoča vaše telo? http://t.co/ze4ltWpzP,Positive
RT @Svetovalnica: Ali razumete kaj vam sporoča vaše telo? http://t.co/ze4ltWpzP,Neutral
@merineseri.diplomatic reply of course..;-).sicer pa glede velikosti posameznih udov nisem glih kompetenten sogovornik ker tudi sam odstopa,Negative
@merineseri.diplomatic reply of course..;-).sicer pa glede velikosti posameznih udov nisem glih kompetenten sogovornik ker tudi sam odstopa,Neutral
RT @JJansaSDS: Fišer: dokument ni pristen! Nato pa preiskava pri Kalohu. Nepristen vendar vseeno tajen dokument? http://t.co/Qur5lmylVZ Bu,Negative
@GalaAine Ja imam eno staro Nokio,Neutral
Prvi zapis z #bamboopaper. Z malo vaje bo papir preteklost. Mogoče je z manjšo konico malo lažje. http://t.co/i1tWWJN99,Neutral
@merineseri @russhie po moje gre sam za to da se ukvarjajo s takim problemom da jim nič drugega v tistem trenutku ni pomebno,Negative
@IgorMatkovic Probaj še Penultimate imajo tudi nočno črtovje pa fajn povečavo in avtomatsko premikanje strani med pisanjem,Neutral
@darkob Vprašam ker res ne vem. Glede na to da Kaloha prodajajo kot novinarja je vprašanje na mestu ne? :,Neutral
Za vse ki čakate na festival Bobri: prevzem brezplačnih vstopnic za vsa prizorišča je jutri 18. 1. od 11. in 18.... http://t.co/BJr0EBDt9,Neutral
Za vse ki čakate na festival Bobri: prevzem brezplačnih vstopnic za vsa prizorišča je jutri 18. 1. od 11. in 18.... http://t.co/iPP7xKYVz,Positive
Glosa Zorana Senkovića: Otrok v razvoju | Dnevnik http://t.co/9PCLGYpwF,Positive
@darkob Uf pa res ni kar tako. Pred tem je bil še malo na MNZ če kaj vem.  Anyhoo še vedno nimam odgovora na vprašanje. Samo to me zanim,Negative
Kdo zdaj špeca državo v tujini? No kdo,Negative
@rokpusnik ... je pa dobro ker je inštruktor s tabo! LOL #NoMoreBolero @GobaFun,Positive
@tanjagruber365 Lej linki ki so gor so nenadjebljivi. Vsa čast. Zelo koristno branje. @BreznikDorian @skeptiks,Positive
EKSKLUZIVNO: Posnetek s Trga Republike (Lj) odziv ob napovedanih dodatnih varčevalnih ukrepih! ;) #news #bucibuc http://t.co/2ydxkxISs,Negative
Koliko egoistov je potrebno da privijejo žarnico? Samo eden ki jo drži in se svet se vrti okoli njega! Poskrbi zase. Poskrbi za smeh! #Eg,Positive
@skyslovenia Njegovo vprašanje bo verjetno #epic: Premalo? Koliko mrd dam še zraven? Ni panike. LOL  @NYTimesHom,Neutral
@vecer Zdaj razumem tiste reklame v stilu: "Izpit za avto za ceno ene kavice na dan.,Neutral
RT @edvardkadic: EKSKLUZIVNO: Posnetek s Trga Republike (Lj) odziv ob napovedanih dodatnih varčevalnih ukrepih! ;) #news #bucibuc http://t,Neutral
Pospravljamo podstrešje: Leto bedakov in konjev | Reporter.si http://t.co/0No3nV38y3 via @RevijaReporte,Neutral
Tisti iz toplih krajev so se vrnili zdaj postajo slike tisti iz smučišč. Še dobro da imam twt da se počutim skoz na dopustu,Positive
@luka_vee jaz sem si jo tam že sposodil in bil zadovoljen s supporto,Positive
@luka_vee jaz sem si jo tam že sposodil in bil zadovoljen s supporto,Positive
@pengovsky Ampak samo če so pogoji enaki kot za odpravo na Mars - torej enosmerna vozovnica,Neutral
Všeč mi je videoposnetek @YouTube http://t.co/JN3P76vEBi SAN DI EGO - Zadnji Cent (Official Video,Positive
Po govoricah zadnjič - dejansko se je našel nekdo ki bo dal 100 jurjev za novo blamažo. Polom! #eurovisio,Negative
@markopotrc Če vežemo njihove plače na minimalca bodo že sami spokali... ;,Neutral
Zimske gume ključne za štiripogonska vozila http://t.co/WWEfrr2LfY via @sharethi,Neutral
@darkob Ne ne sem samo razmišljal da bi posneli en vohunski film v katerem bi Zemljariča lahko igrala Judy Dench pa me zanima razlika,Neutral
@RokSrakar Bo vsaj twitter zjutraj bolj poln prijaznih novic. :) @petrasovda,Neutral
